Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year
Brenda Lee,7,4,3-Mar,Break It to Me Gently,3-Feb,1962
Burl Ives,2,9,10-Feb,A Little Bitty Tear,10-Feb,1962
Gary U.S. Bonds,3,9,24-Feb,Dear Lady Twist,10-Feb,1962
The Everly Brothers,5,6,3-Mar,Crying in the Rain,17-Feb,1962
Bruce Channel,8,1,10-Mar,Hey! Baby,24-Feb,1962
Kenny Ball and His Jazzmen,7,2,17-Mar,Midnight in Moscow,3-Mar,1962
Gene McDaniels,1,10,3-Mar,Chip Chip,3-Mar,1962
Connie Francis,6,1,31-Mar,Don't Break the Heart That Loves You,10-Mar,1962
The Sensations,4,4,17-Mar,Let Me In,10-Mar,1962
James Darren,3,6,17-Mar,Her Royal Majesty,10-Mar,1962
Don and Juan,4,7,17-Mar,What's Your Name,10-Mar,1962
Billy Joe and the Checkmates,1,10,17-Mar,Percolator (Twist),17-Mar,1962
Roy Orbison,3,4,31-Mar,Dream Baby,24-Mar,1962
Chubby Checker,7,3,14-Apr,Slow Twistin',24-Mar,1962
Sam Cooke,2,9,24-Mar,Twistin' the Night Away,24-Mar,1962
Shelley Fabares,9,1,7-Apr,Johnny Angel,31-Mar,1962
Elvis Presley,7,1,21-Apr,Good Luck Charm,31-Mar,1962
Rick Nelson,4,5,21-Apr,Young World,7-Apr,1962
Ketty Lester,3,5,14-Apr,Love Letters,7-Apr,1962
Dee Dee Sharp,9,2,5-May,Mashed Potato Time,7-Apr,1962
Clyde McPhatter,4,7,21-Apr,Lover Please,14-Apr,1962
The Shirelles,8,1,5-May,Soldier Boy,21-Apr,1962
Joey Dee and the Starliters,4,6,5-May,Shout,21-Apr,1962
Mr. Acker Bilk,11,1,26-May,Stranger on the Shore,21-Apr,1962
Gary U.S. Bonds,3,9,12-May,"Twist, Twist Senora",28-Apr,1962
Jimmy Dean,3,8,26-May,P.T. 109,5-May,1962
Jay and the Americans,3,5,19-May,She Cried,12-May,1962
Walter Brennan,4,5,26-May,Old Rivers,12-May,1962
Ernie Maresca,3,6,19-May,Shout! Shout! (Knock Yourself Out),12-May,1962
Brenda Lee,3,6,26-May,Everybody Loves Me But You,19-May,1962
Burl Ives,1,10,19-May,Funny Way of Laughin',19-May,1962
Ray Charles,11,1,2-Jun,I Can't Stop Loving You,26-May,1962
Dion,4,3,9-Jun,Lovers Who Wander,26-May,1962
Mary Wells,3,8,9-Jun,The One Who Really Loves You,2-Jun,1962
Gene Pitney,5,4,16-Jun,(The Man Who Shot) Liberty Valance,2-Jun,1962
Johnny Tillotson,6,3,16-Jun,It Keeps Right on A-Hurtin',9-Jun,1962
Connie Francis,3,7,9-Jun,Second Hand Love,9-Jun,1962
Freddy Cannon,7,3,23-Jun,Palisades Park,9-Jun,1962
The Marvelettes,5,7,23-Jun,Playboy,9-Jun,1962
